country_a,country_b,profile_r_a,profile_r_b,within_r_a,within_r_b,profile_gap,within_gap,severity
EE,IL,0.843115145117026,0.7548493557251168,0.0448385177503157,0.0773792754789644,0.08826578939190921,-0.032540757728648693,0.0028722356683300474
CY,NO,0.7870157211406633,0.8906927910475326,0.0444938149589886,0.0177433721476182,-0.10367706990686931,0.026750442811370404,0.002773407529394159
CH,LV,0.9051582931790576,0.7597205566273624,0.0142840839509112,0.0330297925239352,0.14543773655169523,-0.018745708573024003,0.0027263334249183198
IL,SK,0.7548493557251168,0.8265866004521504,0.0773792754789644,0.0398486889084511,-0.07173724472703358,0.037530586570513294,0.002692340873558032
HR,IL,0.7946389946133416,0.7548493557251168,0.0113382042255806,0.0773792754789644,0.03978963888822484,-0.06604107125338379,0.0026277503769636676
FR,IL,0.7989817384900312,0.7548493557251168,0.0201284951039494,0.0773792754789644,0.04413238276491438,-0.05725078037501499,0.00252661335310021
CY,SI,0.7870157211406633,0.8574021817056523,0.0444938149589886,0.0112352493302409,-0.07038646056498898,0.033258565628747704,0.0023409527180759484
CY,IE,0.7870157211406633,0.8935144552479544,0.0444938149589886,0.0231370742572151,-0.10649873410729105,0.021356740701773503,0.002274465849396537
CH,PT,0.9051582931790576,0.8007374572286252,0.0142840839509112,0.0348567735362287,0.10442083595043239,-0.0205726895853175,0.002148217444247608
LV,SI,0.7597205566273624,0.8574021817056523,0.0330297925239352,0.0112352493302409,-0.09768162507828992,0.021794543193694303,0.0021289263969990423
BG,GR,0.6854503192912444,0.7679404907030946,0.0468655160241971,0.0215528392495417,-0.08249017141185011,0.025312676774655398,0.002088047046034081
AT,CY,0.8823730677705127,0.7870157211406633,0.0226218363036761,0.0444938149589886,0.0953573466298494,-0.021871978655312502,0.0020856538501153018
BG,HU,0.6854503192912444,0.7798983692020902,0.0468655160241971,0.0255763780342704,-0.09444804991084577,0.0212891379899267,0.00201071756743148
CH,SK,0.9051582931790576,0.8265866004521504,0.0142840839509112,0.0398486889084511,0.07857169272690723,-0.0255646049575399,0.0020086542854085942
LV,NO,0.7597205566273624,0.8906927910475326,0.0330297925239352,0.0177433721476182,-0.13097223442017025,0.015286420376317004,0.0020020966329722576
IL,PT,0.7548493557251168,0.8007374572286252,0.0773792754789644,0.0348567735362287,-0.045888101503508416,0.04252250194273569,0.0019512768853313892
CY,ME,0.7870157211406633,0.8451443676693915,0.0444938149589886,0.0109959217807353,-0.05812864652872818,0.0334978931782533,0.001947187192015781
CH,EE,0.9051582931790576,0.843115145117026,0.0142840839509112,0.0448385177503157,0.062043148062031594,-0.0305544337994045,0.001895693260167996
LV,ME,0.7597205566273624,0.8451443676693915,0.0330297925239352,0.0109959217807353,-0.08542381104202912,0.0220338707431999,0.0018822172108916022
BG,RS,0.6854503192912444,0.7276701955981768,0.0468655160241971,0.0023041209065105,-0.04221987630693236,0.0445613951176866,0.0018813765899330678
BG,IS,0.6854503192912444,0.8544743279425585,0.0468655160241971,0.0359305908028919,-0.16902400865131406,0.010934925221305201,0.0018482648952073627
BG,IT,0.6854503192912444,0.8641004530725265,0.0468655160241971,0.036549367447733,-0.17865013378128203,0.010316148576464096,0.001842981323292893
