variable,r,ccc,Cb,loc_shift_u,scale_shift_v,bias,sd_ratio,condition
hmsfmlsh,-0.006587680853859843,-0.0005836886930801436,0.08860306168872002,4.304892550504746,3.775626852847924,-1.5009992257539824,0.26485668181052063,llama_3p
imbgeco,0.4885580078526764,0.32793885593660316,0.6712383190237102,0.7975110454082741,1.7825496053296535,-0.5241271467225292,0.5609942057208929,llama_3p
imdfetn,-0.000859707120098002,-0.00010411923657984988,0.1211101247689804,3.563658519650915,3.531030467112306,-0.6906988421757729,0.2832034470713035,llama_3p
impcntr,-0.08441321462486756,-0.011674560170166477,0.13830251841549027,3.271275651782623,3.471770810122607,-0.6728867729975656,0.28803744679352394,llama_3p
imsmetn,-0.04470627972854997,-0.009178871786832831,0.20531504393936614,2.5986118894450225,2.604374255011711,-0.4588240289997112,0.38396939229285365,llama_3p
imueclt,0.34295959420056393,0.3113911049335898,0.9079527448690857,0.025684181803341435,1.5618191249428943,-0.019462213521300953,0.6402790080039285,llama_3p
imwbcnt,0.3232196043314706,0.26631101884232317,0.8239321355310301,0.5204328446719834,1.4815780228958522,-0.35432747615086235,0.6749560161843028,llama_3p
inprdsc,0.3384333098319714,0.10003289552626914,0.2955763886714769,2.1443906666059087,1.5024490234480652,-0.9874584360901242,0.6655799860051403,llama_3p
polintr,-0.38166226173929785,-0.0488655182182392,0.1280334031338361,3.414835399212933,3.6887264544505625,-0.42969485940086427,0.2710962746487935,llama_3p
pplfair,0.7282052454276446,0.7036785213438781,0.9663189406588757,0.19049054297104084,1.2002945314718088,-0.13466643605951134,0.8331288477785479,llama_3p
pplhlp,0.5039595010258113,0.37851709579389536,0.751086337341438,0.6172784464293687,1.6900939598633515,-0.38583145472699787,0.5916830802003769,llama_3p
ppltrst,0.30651487545951156,0.12912418710885423,0.42126564629295,-1.5796876796698036,1.6438610599780061,1.066910217255602,0.6083239176024885,llama_3p
psppipla,0.3841237953949181,0.08878926342633546,0.2311475219468014,-2.327000068640339,2.891741257236954,0.4959679286480463,0.3458124054139946,llama_3p
psppsgva,0.33025426379602996,0.06799598799029967,0.20588981110716265,-2.5491585473589162,2.866917881488677,0.5053570360377249,0.34880664230282715,llama_3p
rlgatnd,-0.11603656490621203,-0.00847037103352833,0.07299743008054928,4.9180165543069485,2.861922512930118,-1.7411141952050402,0.3494154700143057,llama_3p
sclmeet,0.20886810907019662,0.05140902273691484,0.24613150837515954,2.213417082153248,2.8792039902661464,-0.7088146458834883,0.3473182182925366,llama_3p
stfdem,0.49605424157571576,0.24669333108622699,0.49731120190123923,-1.2906983822372282,1.8002441639114244,1.0118861255855922,0.5554802065444729,llama_3p
stfeco,0.19294550499985177,0.17183909716329784,0.8906094866704972,0.2890575176249177,1.4917414477235285,-0.2179472036682233,0.6703574547224987,llama_3p
stfedu,-0.1159140683195141,-0.05203686809236584,0.44892625068535735,1.514015083852524,1.4930738165985336,-1.1848651948325957,0.6697592502681238,llama_3p
stfgov,0.2075164415362548,0.18309665271970826,0.882323595008831,0.5115697116208169,0.9314922556631294,-0.4033290270008929,1.0735462307070924,llama_3p
stfhlth,-0.0378187605626957,-0.01478773361717248,0.39101581852894074,1.6582886474759897,1.8135595430090083,-1.3217305455579513,0.5514018019727256,llama_3p
stflife,0.40814416022111016,0.021267667758626225,0.0521082250622049,6.029361390593028,1.1835223692092685,-3.664056752248921,0.8449354452574623,llama_3p
trstep,-0.18442181314781392,-0.02398951483688822,0.13007959539829836,3.648541660707839,1.2853426887626425,-2.2175143955751984,0.7780026359839238,llama_3p
trstlgl,0.3794017860228386,0.1243128594597247,0.32765491370734223,1.9783567746011173,1.5412731338691747,-1.813263281581719,0.6488142679095588,llama_3p
trstplc,0.16940227900566524,0.015687883200821734,0.09260727360283678,4.400952024060312,1.6052354767729489,-3.523512159816366,0.6229615620072942,llama_3p
trstplt,0.17637317560473115,0.16410637698532077,0.9304497490769154,0.2500337478601224,1.3416058666076591,-0.20659653588815452,0.7453753929449991,llama_3p
trstprl,0.20793426776463875,0.05604046037720941,0.2695104610685994,2.2890080785711713,1.5259934228377476,-2.0128273782061217,0.655310819191077,llama_3p
trstprt,0.2754098105448574,0.25689290445523366,0.9327659895158027,0.32451367210721216,1.2174881694332376,-0.28419150715724584,0.8213632174064721,llama_3p
trstun,0.03235559418662112,0.0034022645884493915,0.10515228274980071,4.0526641178311,2.1254615732966915,-2.6931518256162956,0.47048604056809773,llama_3p
vote,0.037192645831380225,0.029128634263641373,0.7831826322790115,-0.7130380784950868,1.2365726782387683,0.06812541697783536,0.8086867982756055,llama_3p
