deflator,variable,country,bloc,bloc_size,dummy_survives_holdout,predicted_as,truth,pred_regression,pred_region_mean,hat_insample,err_regression,err_region_mean
PPP,freehms,IL,Other,1,False,CentralEast (reference category),2.771926047623225,2.6040660325423497,2.1105021214233832,0.9999999999999987,0.041965003770218834,0.16535598154996045
PPP,gincdif,IL,Other,1,False,CentralEast (reference category),2.254488633535265,2.0921084308987856,2.0853975590745266,0.9999999999999987,0.040595050659119836,0.042272768615184586
PPP,happy,IL,Other,1,False,CentralEast (reference category),7.378506798276478,7.34446026311307,7.388526750544797,0.9999999999999987,0.003404653516340783,0.0010019952268319088
PPP,health,IL,Other,1,False,CentralEast (reference category),1.805679135155322,2.1996503844162523,2.1638380863861886,0.9999999999999987,0.09849281231523255,0.08953973780771662
PPP,hincfel,IL,Other,1,False,CentralEast (reference category),1.992257796033195,1.9594732633883987,1.947286459548251,0.9999999999999987,0.010928177548265472,0.014990445494981334
PPP,hmsacld,IL,Other,1,False,CentralEast (reference category),3.004916357312073,3.530122525531188,2.8306021220065904,0.9999999999999987,0.13130154205477873,0.04357855882637063
PPP,hmsfmlsh,IL,Other,1,False,CentralEast (reference category),3.092598797312127,3.360922006241846,3.817326688802155,0.9999999999999987,0.06708080223242974,0.18118197287250692
PPP,imbgeco,IL,Other,1,False,CentralEast (reference category),4.957305921928851,4.852756454131748,5.407891427635768,0.9999999999999987,0.010454946779710372,0.045058550570691656
PPP,imdfetn,IL,Other,1,False,CentralEast (reference category),2.928104329006959,2.551480676122965,2.3328802445710966,0.9999999999999987,0.12554121762799797,0.19840802814528744
PPP,impcntr,IL,Other,1,False,CentralEast (reference category),3.170063969761885,2.58890338196993,2.400116250730106,0.9999999999999987,0.1937201959306516,0.25664923967725956
PPP,imsmetn,IL,Other,1,False,CentralEast (reference category),1.7927284968003243,2.2023648484942786,2.0195557661412833,0.9999999999999987,0.13654545056465142,0.07560908978031966
PPP,imueclt,IL,Other,1,False,CentralEast (reference category),5.041758655711063,4.850771696458971,5.466398546037696,0.9999999999999987,0.019098695925209165,0.04246398903266328
PPP,imwbcnt,IL,Other,1,False,CentralEast (reference category),4.77581453687835,4.713749058643958,5.141488984037683,0.9999999999999987,0.006206547823439212,0.036567444715933296
PPP,inprdsc,IL,Other,1,False,CentralEast (reference category),2.4812293357499637,2.3916123803663054,2.766341602717645,0.9999999999999987,0.014936159230609721,0.04751871116128018
PPP,polintr,IL,Other,1,False,CentralEast (reference category),2.447442839207694,2.8194712899698544,2.6773714770581893,0.9999999999999987,0.12400948358738677,0.0766428792834984
PPP,pplfair,IL,Other,1,False,CentralEast (reference category),5.314318458840991,5.269623272743685,5.602735324992891,0.9999999999999987,0.004469518609730638,0.028841686615190022
PPP,pplhlp,IL,Other,1,False,CentralEast (reference category),5.100096960518647,4.707379769604111,4.988532978776785,0.9999999999999987,0.03927171909145359,0.011156398174186144
PPP,ppltrst,IL,Other,1,False,CentralEast (reference category),5.174017172464776,4.661931245828889,5.0312783580988025,0.9999999999999987,0.0512085926635887,0.014273881436597335
PPP,psppipla,IL,Other,1,False,CentralEast (reference category),2.0573491368573285,1.994778403375688,2.1439639901457808,0.9999999999999987,0.015642683370410138,0.021653713322113077
PPP,psppsgva,IL,Other,1,False,CentralEast (reference category),1.962432274318939,2.114168583072408,2.202357787283531,0.9999999999999987,0.03793407718836722,0.059981378241147965
PPP,rlgatnd,IL,Other,1,False,CentralEast (reference category),5.142386564860492,5.171025343196468,5.424358931819764,0.9999999999999987,0.004773129722662676,0.04699539449321207
PPP,sclmeet,IL,Other,1,False,CentralEast (reference category),5.37946729389215,4.4453835361994924,4.809299026649808,0.9999999999999987,0.15568062628210955,0.09502804454039031
PPP,stfdem,IL,Other,1,False,CentralEast (reference category),4.252040313322515,4.919632594676482,5.047444525126513,0.9999999999999987,0.06675922813539677,0.07954042118039988
PPP,stfeco,IL,Other,1,False,CentralEast (reference category),4.637346340378427,4.588659556843357,4.412156795177815,0.9999999999999987,0.004868678353506972,0.022518954520061207
PPP,stfedu,IL,Other,1,False,CentralEast (reference category),5.264336488030869,5.353255088464814,5.294254262964457,0.9999999999999987,0.008891860043394484,0.0029917774933587715
PPP,stfgov,IL,Other,1,False,CentralEast (reference category),3.8927885655775873,4.217018302009899,4.062337439238597,0.9999999999999987,0.03242297364323119,0.016954887366100957
PPP,stfhlth,IL,Other,1,False,CentralEast (reference category),6.530300993284543,4.619005029072611,5.119845372822034,0.9999999999999987,0.19112959642119326,0.14104556204625088
PPP,stflife,IL,Other,1,False,CentralEast (reference category),7.100674068580728,7.045970841774363,7.040574164064912,0.9999999999999987,0.005470322680636563,0.006009990451581615
PPP,trstep,IL,Other,1,False,CentralEast (reference category),2.7966407305118883,4.663663025647958,4.693808325423037,0.9999999999999987,0.186702229513607,0.18971675949111483
PPP,trstlgl,IL,Other,1,False,CentralEast (reference category),4.48102706718821,4.86462016399143,5.264977453843947,0.9999999999999987,0.038359309680321994,0.07839503866557376
PPP,trstplc,IL,Other,1,False,CentralEast (reference category),4.731499091666773,6.13635426720909,6.273982248234293,0.9999999999999987,0.14048551755423172,0.15424831565675196
PPP,trstplt,IL,Other,1,False,CentralEast (reference category),3.234111509397608,3.344914853396274,3.5738302542806935,0.9999999999999987,0.011080334399866576,0.03397187448830854
PPP,trstprl,IL,Other,1,False,CentralEast (reference category),3.8246940387324297,4.081799579885704,4.423166837797668,0.9999999999999987,0.02571055411532743,0.05984727990652381
PPP,trstprt,IL,Other,1,False,CentralEast (reference category),3.3813375609355893,3.3554910186389812,3.5741485767944785,0.9999999999999987,0.00258465422966081,0.019281101585888916
PPP,trstun,IL,Other,1,False,CentralEast (reference category),2.158735877721266,4.93202277492188,5.065956066124052,0.9999999999999987,0.2773286897200614,0.2907220188402786
PPP,vote,IL,Other,1,False,CentralEast (reference category),1.2961812404391788,1.3605440649292515,1.3812102834208915,0.9999999999999987,0.032181412245036345,0.04251452149085633
