block,margin,variable,reverse,dz
"union, internet use",remove,hincfel,True,-0.032996
"union, internet use",remove,hmsacld,True,-0.098018
"union, internet use",remove,hmsfmlsh,True,-0.036618
"union, internet use",remove,imbgeco,False,0.2267
"union, internet use",remove,imdfetn,True,-0.146852
"union, internet use",remove,impcntr,True,-0.176291
"union, internet use",remove,imsmetn,True,-0.065156
"union, internet use",remove,imueclt,False,0.392053
"union, internet use",remove,imwbcnt,False,0.200224
"union, internet use",remove,inprdsc,False,0.205686
"union, internet use",remove,polintr,True,-0.301555
"union, internet use",remove,pplfair,False,0.059943
"union, internet use",remove,pplhlp,False,0.226322
"union, internet use",remove,ppltrst,False,0.505826
"union, internet use",remove,psppipla,False,0.298399
"union, internet use",remove,psppsgva,False,0.058806
"union, internet use",remove,rlgatnd,True,0.263166
"union, internet use",remove,sclmeet,False,-0.119627
"union, internet use",remove,stfdem,False,0.143898
"union, internet use",remove,stfeco,False,0.066789
"union, internet use",remove,stfedu,False,0.099231
"union, internet use",remove,stfgov,False,0.001493
"union, internet use",remove,stfhlth,False,0.077208
"union, internet use",remove,stflife,False,0.051335
"union, internet use",remove,trstep,False,0.05525
"union, internet use",remove,trstlgl,False,0.093771
"union, internet use",remove,trstplc,False,0.154986
"union, internet use",remove,trstplt,False,0.063759
"union, internet use",remove,trstprl,False,0.041225
"union, internet use",remove,trstprt,False,0.042382
"union, internet use",remove,trstun,False,0.018523
"union, internet use",remove,vote,True,-0.067835
household,add,actrolga,False,-0.153728
household,add,aesfdrk,True,0.155818
household,add,atchctr,False,-0.111739
household,add,atcherp,False,0.140688
household,add,cptppola,False,-0.037191
household,add,euftf,False,-0.022554
household,add,freehms,True,-0.044649
household,add,gincdif,True,0.057964
household,add,happy,False,0.074821
household,add,health,True,0.022836
household,add,hincfel,True,-0.047736
household,add,hmsacld,True,0.16023
household,add,hmsfmlsh,True,-0.188955
household,add,imbgeco,False,0.134951
household,add,imdfetn,True,0.047414
household,add,impcntr,True,0.042769
household,add,imsmetn,True,0.038811
household,add,imueclt,False,0.052457
household,add,imwbcnt,False,0.039577
household,add,inprdsc,False,0.050075
household,add,polintr,True,-0.293216
household,add,pplfair,False,-0.077377
household,add,pplhlp,False,-0.360045
household,add,ppltrst,False,-0.117897
household,add,psppipla,False,-0.121708
household,add,psppsgva,False,0.043743
household,add,rlgatnd,True,-0.07971
household,add,sclmeet,False,0.07976
household,add,stfdem,False,-0.005513
household,add,stfeco,False,0.021885
household,add,stfedu,False,-0.025191
household,add,stfgov,False,0.034421
household,add,stfhlth,False,-0.054185
household,add,stflife,False,0.033153
household,add,trstep,False,0.012056
household,add,trstlgl,False,-0.00024
household,add,trstplc,False,-0.002518
household,add,trstplt,False,0.107092
household,add,trstprl,False,0.090712
household,add,trstprt,False,0.032695
household,add,trstun,False,-0.091831
household,add,vote,True,0.631499
household,remove,actrolga,False,-0.051115
household,remove,aesfdrk,True,0.038156
household,remove,atchctr,False,-0.229018
household,remove,atcherp,False,0.024075
household,remove,cptppola,False,-0.065489
household,remove,euftf,False,-0.061168
household,remove,freehms,True,-0.10805
household,remove,gincdif,True,-0.110534
household,remove,happy,False,-0.061471
household,remove,health,True,-0.105302
household,remove,hincfel,True,-0.039376
household,remove,hmsacld,True,-0.047503
household,remove,hmsfmlsh,True,0.541127
household,remove,imbgeco,False,0.111417
household,remove,imdfetn,True,0.004678
